City,PricePerSqFt,Country,Currency,Lat,Lon
Bangalore,6500,India,INR,12.9716,77.5946
Chennai,5000,India,INR,13.0827,80.2707
Mumbai,12000,India,INR,19.0760,72.8777
Delhi,8000,India,INR,28.7041,77.1025
Hyderabad,5500,India,INR,17.3850,78.4867
Kolkata,4500,India,INR,22.5726,88.3639
Pune,6000,India,INR,18.5204,73.8567
New York,250,USA,USD,40.7128,-74.0060
San Francisco,450,USA,USD,37.7749,-122.4194
Los Angeles,350,USA,USD,34.0522,-118.2437
Chicago,300,USA,USD,41.8781,-87.6298
Seattle,400,USA,USD,47.6062,-122.3321
Houston,200,USA,USD,29.7604,-95.3698
